"1","G.B. Pant Hospital Blood bank","11.675442","92.747338","Atlanta Point Near Cellular Jail P.O. Aberdeen Bazaar ","9434266561"
"2","I.N.H.S. Dhanvantri","11.649693","92.717418","Ashvini Nagar; Port Blair; Andaman and Nicobar Islands.","8001452200"
"3","Pillar Health Centre Blood Bank","11.653229","92.730714","Lamba Line; P.B. 526; P.O. Junglighat;  Opposite Airport","9474247585"
"4","Indian Red Cross Society Blood Bank, District Branch","14.654936","77.609915","Near JNTU Engeneering College; Sarada Nagar; Ananthapur.","9441192365"
"5","Government General Hospital Blood Bank","14.671459","77.596684","Government General Hospital; Ananthapur","9866695858"
"6","Indian Red Cross Society","14.681888","77.600591","Blood Bank Medical Officer;Blood Bank; Indian Red Cross Society; Anantpur","9866023293"
"7","Rural Development Trust Hospital Blood Bank","14.652907","77.618826","Kadiri Road; Bathalapalli; Ananthapur","9493268861"
"8","South Central Railway Hospital Blood Bank","15.172889","77.366103","S.C. Railway Hospital; Guntakal; Ananthapuramu","9701374501"
"9","Indian Red Cross Society Blood Bank","13.832533","77.492214","Government General Hospital Blood Bank; Hindupur; Ananthapur ","NA"
"10","Indian Red Cross Society Blood bank RCH -II KADIRI","14.113089","78.157366","Ground Floor; APVVP (Government General Hospital) Area Hospital; Kadiri; Ananthapur ","9989738689"
"11","S.S.S.I.H.M.S. Blood Bank","14.151889","77.77685","Prasanthigram; Puttaparthy; Ananthapuramu","9490360321"
"12","District Head Quarters Hospital Blood Bank. ","13.217176","79.100329","Head Quarters  Hospital Compound; Chittoor","9849229482"
"13","Indian Red Cross Society","13.217176","79.100329","The Secretary; Indian Red Cross Society; D:No:20-119; PH Road; Redcross Building; Chittoor 517 001; Andhra Pradesh Dr.M.V.Narayana Reddy (MO); Ph:08572 220287",""
"14","M/s IRCS Blood Bank.","13.21698","79.100764","D.No. 20 - 119; Prakasam High Road; Chittor","9849229482"
"15","M/s PESIMSR Blood Bank.","12.791223","78.363897","PES Institute of medical sciences premises; Kuppam ","9391833741"
"16","Blood Bank AH Madanapalli","13.217176","79.100329"," The Blood Bank Medical Officer; Area Hospital; Patel Road; Madanapalli 517 325; Chittoor Dist. ; Andhra pradesh Dr.Laxmiprasadreddy9(M.O)"," "
"17","Indian Red Cross Society, Madanapalli RCH 2","13.556927","78.50085","Area Hospital; Patel Road; Madanapalli. ","9440580272"
"18","Aswini Hospital Blood Bank, TTD","13.677292","79.3487","Tirumala Tirupati Devastanam (TTD); Tirumala; Chittoor ","9490651605"
"19","SVRRGGH - Model Blood Bank","13.644382","79.407003","S.V.R.R. Government General Hospital; Tirupati ","NA"
"20","Sri Venkateswara Institute of Medical sciences Blood Bank","13.637934","79.403917","Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus; Tirupati",""
"21","Govt Maternity Hospital Blood Bank","13.639418","79.409372","Ruia Hospital Road; Tirupati","9949190197"
"22"," TTD Central Hospital Blood Bank","13.642148","79.421067","Tirumala Tirupati Devastanam (TTD); Kapil Teertham Road; Tirupati ","9849099750"
"23","S.V.S. Charitable Trust Blood Bank and Transfusion Centre","0","0","10-13-514; 1st Floor; Reddy & Reddy Colony; Tirupathi","9246999571"
"24","Government Hospital","16.587432","82.008431","Blood Bank Medical Officer;  Blood Bank; Government Hospital; Amalapuram","9989106236"
"25","M/S. Kims & Research Foundation, Hospital Blood Bank","16.592169","82.024025","Kims & Research Foundation; Hospital Blood Bank; Sy.No:813 & 817; Kamanagaruvu; Near Red Bridge; Amalapuram.","9949993495"
"26","M/s. A.P.V.V.P Area Hospital Blood Bank  ","16.575367","81.998101","Ground Floor Area Hospital; Amalapuram","09505152234, 09491219991"
"27","M/s. Government General Hospital, Blood Bank.","16.955537","82.22748","Government General Premises; Ground Floor; Kakinada","9390207027"
"28","M/s. Indian Red Cross Society Blood Bank","16.989065","82.247465","D.No: 8-14-39; Ground & 1st  Floor; Red Cross Street; Gandhi Nagar; Kakinada","9848071868"
"29","M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust)","0","0","Second Floor; D.No:15-8-3; Brahmarishi Road; Satya Prasanna Nagar; Kakinada ","9494673434"
"30","District Headquarters Hospital","17.019708","81.791631","Blood Bank Medical Officer; Blood Bank; District Headquarters . Hospital; Rajahmundry","9849520969"
"31","M/s. G. S. L. Medical College General Hospital Blood Bank","0","0","No-16; Lakshmi Puram; Rajanagaram; Rajahmundry.",""
"32","M/s. Swatantra Hospital,  Blood Bank","0","0","D.No: 46-13-31;1st Floor; Gowthami Scan Centre Private Limited; Near Gandhi Park;  Danaviepeta; Rajahmundry.","NA"
"33","M/S. Dhanwantari Voluntary Blood Bank.","17.00787","81.785213","D.No:46-21-1;2nd Floor; Danavaiepeta; Rajahmundry","9885186533"
"34","M/s. Government Area General Hospital Blood Bank.","17.354937","82.541241","M/s.Government Area Hospital Blood Bank; Area hospital; Tuni ","09849030908, 09505615556"
"35","M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness)","0","0","D.No: 3-5-9; Opposite to Raithu Bazar; Lalam Satyanarayana Hospital Street; Tuni ","09347911130, 09948456739"
"36","Government General Hospital Blood Bank","16.299747","80.443689","Opposite to Railway Station; 1st Floor; C/o Government General Hospital; Guntur. ","9966641474"
"37","Indian Red Cross Society","16.306653","80.43654","Blood Bank Medical Officer; Blood Bank; Indian Red Cross Society; Guntur; District Guntur","9985322589"
"38","Indian Red Cross Society Blood Bank ","16.306653","80.43654","Zilla Parishad Compound; Nagarampalem; GUNTUR ","09848181601, 08121751295	"
"39","Lions Club of Guntur Vision Blood Bank","0","0","1st Floor; Somuvari Street; Kothapeta; Guntur","9246600777"
"40","Padmavathi Day & Night Blood Bank","0","0","Opposite to Head Post Office; Behind Veterinary Hospital; Kothapeta ",""
"41","M/s. Needs Blood Bank ","16.29882","80.448888","1st Floor; Honda Show Room Building; Opposite Doctor Plaza; Kothapeta ","9246448899"
"42","M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ","0","0","4th Floor; Behind Sivalayam Temple; Kothapeta ",""
"43","Saint Joseph General Hospital Blood Bank","16.297514","80.440648","Opposite to Andhra Christian College; Near Flyover; Main Road; Guntur ","9493819977"
"44","NTR Memorial Trust Blood Bank","0","0","Door No. 13-2-87; 1st Line G. V. Thota",""
"45","Katuri Medical College and Hospital Blood Bank ","16.227872","80.30947","Katuri Nagar; Chinakondrupadu; Guntur ","NA"
"46","NRI Medical College and General Hospital Blood Bank","16.413675","80.555675","Mangalagiri Mandalam; Chinakakani; Guntur ","09849989813, 09849989843"
